[2026-04-22 20:14:19] 📅 2026/04/22 (三) 開始抓取新聞...

[2026-04-22 20:14:19] 📋 歷史紀錄：357 則已排除

[2026-04-22 20:14:19] 【來源一：Google News 關鍵字搜尋】
[2026-04-22 20:14:19]   [房市行情]
[2026-04-22 20:14:24]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：大樓管理費漲不停！北市豪宅每坪破300元 居住成本持續走高 
[2026-04-22 20:14:24]       ✗ 非白名單來源(MSN https://www.msn.com)：台中人不買大坪數了?15坪小宅交易「只輸北市」 專家揭現實面
[2026-04-22 20:14:24]     坪數: 抓到 11 則，新增 1 則
[2026-04-22 20:14:25]       ✗ 非白名單來源(觀傳媒 https://www.watchmedia01.com)：化身神隊友 臺中市以科技溫度守護每一筆實價登錄
[2026-04-22 20:14:25]       ✗ URL重複：北市房市回暖再等等！交易量跌18% 中正區量崩7成、南港成交
[2026-04-22 20:14:25]       ✗ URL重複：官方認證！台北1月房市「量減18.64％、價升0.10％」
[2026-04-22 20:14:25]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：淡江大橋通車倒數！淡海房價5年漲3成 3字頭磁吸輕移民 | 
[2026-04-22 20:14:25]       ✗ URL重複：房價真的跌了！統計六都第一季成屋均價：台中跌最慘、台北市獨紅
[2026-04-22 20:14:25]       ✗ URL重複：高雄豪宅市場再添億元成交 美術館預售豪宅成交8字頭 輕豪宅交
[2026-04-22 20:14:25]     實價登錄: 抓到 7 則，新增 1 則
[2026-04-22 20:14:25]   [預售屋]
[2026-04-22 20:14:26]       ✗ 字元重疊 60%：北市首波預售屋稽查 抽查9案有1案「這項」違規
[2026-04-22 20:14:26]       ✗ URL重複：預售屋市場首季房價鬆動推案量下探歷史低點| 房產新訊
[2026-04-22 20:14:26]       ✗ 標題完全相同：1,500萬元預算想買預售屋？永慶房屋：先從淡水區找起
[2026-04-22 20:14:26]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：淡水成首購天堂！1500萬買預售大3房 新北核心區平價新房消
[2026-04-22 20:14:26]       ✗ 標題完全相同：1,500萬元預算想買預售屋？ 永慶房屋：先從淡水區找起
[2026-04-22 20:14:26]       ✗ URL重複：全台預售屋買氣全暴跌！這三都跌幅逾3成　高雄最慘烈直接被腰斬
[2026-04-22 20:14:26]       ✗ 非白名單來源(AN不動產新聞網 https://annewsmedia.com)：「台北隊」329預售屋稽查結果出爐 1案樣品屋違規
[2026-04-22 20:14:26]       ✗ URL重複：北市地政局突襲預售屋！這9案紅單、合約全過關　僅1家樣品屋違
[2026-04-22 20:14:26]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：1500萬購屋預算怎麼選？新北成屋空間更大 | 民視新聞網
[2026-04-22 20:14:26]       ✗ 字元重疊 54%：總價1500萬 在永和買預售屋只負擔得起套房 中古屋卻能買到
[2026-04-22 20:14:26]       ✗ URL重複：329預售案稽查結果出爐！「臺北隊」抓包1案樣品屋違規
[2026-04-22 20:14:26]       ✗ 字元重疊 58%：房市冷了照查不誤！台北市329檔期預售屋大稽查　9案有1案違
[2026-04-22 20:14:26]       ✗ 字元重疊 64%：北市首波預售屋聯合稽查 抽查9案抓1樣品屋違規
[2026-04-22 20:14:26]       ✗ 字元重疊 58%：北市府抽查329檔期預售屋1建案樣品屋違規開罰| 地方
[2026-04-22 20:14:27]       ✗ 字元重疊 86%：北市329預售屋稽查結果出爐　1建案樣品屋違規
[2026-04-22 20:14:27]       ✗ 非白名單來源(住展雜誌 https://www.myhousing.com.tw)：預售屋交易探6年低點 央行鬆綁助房市醞釀「先蹲後跳」？
[2026-04-22 20:14:27]       ✗ 字元重疊 54%：不是桃園、新北！全台預售屋成交量崩跌，「1縣市」最慘暴跌51
[2026-04-22 20:14:27]       ✗ URL重複：待售新成屋飆11萬宅！房仲直言「建商開始隱形讓利」：保護面子
[2026-04-22 20:14:27]       ✗ 非白名單來源(卡優新聞網 https://www.cardu.com.tw)：央行善意有望解凍房市 預售市場進入個案表現
[2026-04-22 20:14:27]       ✗ 字元重疊 58%：北市府抽查預售屋 1建案樣品屋違規開罰 (圖)
[2026-04-22 20:14:27]       ✗ URL重複：高雄處處讓利降價 新成屋年跌4%預售屋指標案撐盤逆勢上漲
[2026-04-22 20:14:27]       ✗ 字元重疊 57%：全台預售屋買氣腰斬再腰斬 前2月僅剩5466戶年減28%
[2026-04-22 20:14:27]       ✗ 字元重疊 100%：26歲年薪110萬+150萬存款想「以房養房」？網勸阻：別因
[2026-04-22 20:14:27]       ✗ 字元重疊 100%：前兩月預售交易量寫六年同期新低 「賣方等買盤，買方等降價」
[2026-04-22 20:14:27]       ✗ 非白名單來源(東森新聞 https://news.ebc.net.tw)：選對地段抗通膨！預售屋輕鬆付成資產配置首選
[2026-04-22 20:14:27]     預售屋: 抓到 25 則，新增 0 則
[2026-04-22 20:14:28]       ✗ 非白名單來源(Yahoo股市 https://tw.stock.yahoo.com)：中國大陸建案「涵碧天下」下半年開賣 賴正鎰：總銷上千億元
[2026-04-22 20:14:28]       ✗ 外國地名(成都)：鄉林成都建案下半年銷售 青島50.9億元資產近日到帳
[2026-04-22 20:14:28]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：俯瞰東北亞／臺灣買家佔4成！ 日本福岡「朝倉中國城」開發案胎
[2026-04-22 20:14:28]       ✗ 字元重疊 100%：「多殺多區域出現」！房價真跌 下修近一成？
[2026-04-22 20:14:28]       ✗ 非白名單來源(住展雜誌 https://www.myhousing.com.tw)：建案規劃邏輯翻轉 三大建築認證改寫市場標準
[2026-04-22 20:14:28]       ✗ 字元重疊 58%：北市府抽查329檔期預售屋1建案樣品屋違規開罰| 地方
[2026-04-22 20:14:28]       ✗ 字元重疊 86%：北市329預售屋稽查結果出爐　1建案樣品屋違規
[2026-04-22 20:14:28]       ✗ 字元重疊 60%：北市首波預售屋稽查 抽查9案有1案「這項」違規
[2026-04-22 20:14:28]       ✗ 字元重疊 50%：房市寒冬建商哭了？2025年5家倒閉…網不買單狂酸：賣不掉加
[2026-04-22 20:14:28]       ✗ 外國地名(日本)：「台積電神話」日本再現熊本首個台灣建案完工賣光| 房產新訊
[2026-04-22 20:14:28]       ✗ URL重複：Q1推案量創史上新低　市調：520將迎「報復式推案潮」
[2026-04-22 20:14:28]       ✗ URL重複：預售屋市場首季房價鬆動推案量下探歷史低點| 房產新訊
[2026-04-22 20:14:28]       ✗ URL重複：新莊副都心重量級建設蓄勢待發　房市供不應求！純住建案搶手
[2026-04-22 20:14:28]       ✗ 字元重疊 100%：建商不撐了！全台新案房價「跌回兩年前」、高雄降最大| 房產新
[2026-04-22 20:14:28]       ✗ 字元重疊 58%：北市府抽查預售屋 1建案樣品屋違規開罰 (圖)
[2026-04-22 20:14:28]       ✗ URL重複：新案開價跌回兩年前！市場轉空 三大地雷區曝光
[2026-04-22 20:14:28]       ✗ URL重複：329預售案稽查結果出爐！「臺北隊」抓包1案樣品屋違規
[2026-04-22 20:14:28]       ✗ 非白名單來源(東森電視 https://fnc.ebc.net.tw)：要等還是衝？ 全台新案開價「跌回兩年前」一表看房市新變化
[2026-04-22 20:14:28]       ✗ 字元重疊 57%：房市陣痛期降臨！台中海線先爆多殺多　全台新建案開價跌回2年前
[2026-04-22 20:14:28]       ✗ 非白名單來源(AN不動產新聞網 https://annewsmedia.com)：「台北隊」329預售屋稽查結果出爐 1案樣品屋違規
[2026-04-22 20:14:28]       ✗ URL重複：北市地政局突襲預售屋！這9案紅單、合約全過關　僅1家樣品屋違
[2026-04-22 20:14:28]       ✗ 非白名單來源(AN不動產新聞網 https://annewsmedia.com)：全台房價下修近1成！建商「讓利」了嗎？3現象看懂房市軟著陸真
[2026-04-22 20:14:28]       ✗ 字元重疊 50%：高雄Q1申報開工年減17%
[2026-04-22 20:14:28]       ✗ 字元重疊 55%：台建商熊本蓋「一戶建」 11棟獨棟別墅半年華人買光
[2026-04-22 20:14:28]       ✗ 字元重疊 64%：北市首波預售屋聯合稽查 抽查9案抓1樣品屋違規
[2026-04-22 20:14:28]     建案: 抓到 30 則，新增 5 則
[2026-04-22 20:14:29]       ✗ URL重複：預售屋市場首季房價鬆動推案量下探歷史低點| 房產新訊
[2026-04-22 20:14:29]       ✗ 字元重疊 60%：北市首波預售屋稽查 抽查9案有1案「這項」違規
[2026-04-22 20:14:29]       ✗ URL重複：建商喊「讓利」背後藏秘密！　內行：賣得動的建案共通3條件
[2026-04-22 20:14:29]       ✗ 標題完全相同：1,500萬元預算想買預售屋？永慶房屋：先從淡水區找起
[2026-04-22 20:14:29]       ✗ 字元重疊 100%：北市地政局突襲預售屋！這9案紅單、合約全過關　僅1家樣品屋違
[2026-04-22 20:14:29]       ✗ 標題完全相同：1,500萬元預算想買預售屋？ 永慶房屋：先從淡水區找起
[2026-04-22 20:14:29]       ✗ 字元重疊 62%：全台新案開價「跌回兩年前」 推案量大跳水！ 接續520檔期成
[2026-04-22 20:14:29]       ✗ 字元重疊 86%：北市329預售屋稽查結果出爐　1建案樣品屋違規
[2026-04-22 20:14:29]       ✗ 字元重疊 58%：北市府抽查329檔期預售屋1建案樣品屋違規開罰| 地方
[2026-04-22 20:14:29]       ✗ 非白名單來源(AN不動產新聞網 https://annewsmedia.com)：「台北隊」329預售屋稽查結果出爐 1案樣品屋違規
[2026-04-22 20:14:29]       ✗ 非白名單來源(卡優新聞網 https://www.cardu.com.tw)：央行善意有望解凍房市 預售市場進入個案表現
[2026-04-22 20:14:29]       ✗ URL重複：實登掀底牌！過一條馬路省10萬 水湳、十四期「這建案」開價跌
[2026-04-22 20:14:29]       ✗ 字元重疊 54%：今年前二月全國預售案量下探近六年同期新低| 房產新訊
[2026-04-22 20:14:29]       ✗ URL重複：329預售案稽查結果出爐！「臺北隊」抓包1案樣品屋違規
[2026-04-22 20:14:29]       ✗ URL重複：高雄豪宅市場再添億元成交 美術館預售豪宅成交8字頭 輕豪宅交
[2026-04-22 20:14:29]       ✗ 字元重疊 50%：今年前二月全國預售案量 下探近六年同期新低
[2026-04-22 20:14:29]       ✗ 非白名單來源(報新聞 Mega News https://www.contentplatform.info)：建案規劃邏輯翻轉 三大建築認證改寫市場標準
[2026-04-22 20:14:29]       ✗ 字元重疊 58%：北市府抽查預售屋 1建案樣品屋違規開罰 (圖)
[2026-04-22 20:14:29]       ✗ 字元重疊 64%：北市首波預售屋聯合稽查 抽查9案抓1樣品屋違規
[2026-04-22 20:14:29]       ✗ URL重複：高雄處處讓利降價 新成屋年跌4%預售屋指標案撐盤逆勢上漲
[2026-04-22 20:14:29]       ✗ 標題完全相同：獨家／三峽也有陶朱隱園？神秘建案開價9字頭　專家揭：建商很有
[2026-04-22 20:14:29]     預售案: 抓到 21 則，新增 0 則
[2026-04-22 20:14:30]     換約: 抓到 1 則，新增 1 則
[2026-04-22 20:14:31]       ✗ 非白名單來源(Yahoo - 汽機車 https://autos.yahoo.com.tw)：計程車業者攜紅單至交通部抗議新制苛政！狂轟「檢舉蟑螂」影響生
[2026-04-22 20:14:31]       ✗ 字元重疊 100%：北市地政局突襲預售屋！這9案紅單、合約全過關　僅1家樣品屋違
[2026-04-22 20:14:31]       ✗ 非白名單來源(東森新聞 https://news.ebc.net.tw)：超扯！ 愛車在拖吊車上 竟收罰單「超速13公里」
[2026-04-22 20:14:31]       ✗ 非白名單來源(MSN https://www.msn.com)：愛車遭拖吊竟收罰單「超速13公里」!他慘罰1600傻眼：怎麼
[2026-04-22 20:14:31]       ✗ 非白名單來源(Yahoo - 汽機車 https://autos.yahoo.com.tw)：罰單10年未繳過追訴期自動失效？ 貪小便宜省荷包卻可能面臨嚴
[2026-04-22 20:14:31]       ✗ 字元重疊 86%：北市329預售屋稽查結果出爐　1建案樣品屋違規
[2026-04-22 20:14:31]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：太瞎！故障上拖吊車卻收「超速」罰單 苗栗警致歉「火速撤銷」 
[2026-04-22 20:14:32]     紅單: 抓到 9 則，新增 2 則
[2026-04-22 20:14:32]   [不動產與土地]
[2026-04-22 20:14:33]       ✗ 非白名單來源(Yahoo股市 https://tw.stock.yahoo.com)：Altus Group 發表 ARGUS Assist AI
[2026-04-22 20:14:33]       ✗ URL重複：沒人要的房子突然賣光？滯銷老案驚現成交潮
[2026-04-22 20:14:33]       ✗ 非白名單來源(news.cnyes.com https://news.cnyes.com)：併購傳承利多！房地合一稅大鬆綁 不動產特定股權改採「時價」課
[2026-04-22 20:14:33]       ✗ 非白名單來源(MSN https://www.msn.com)：「億級房仲」台慶不動產大園大江加盟店業績逆勢飆1.6 億元
[2026-04-22 20:14:33]       ✗ 字元重疊 58%：祖先土地在呼喚！竹市27億不動產沒人要 超過「這期限」將充公
[2026-04-22 20:14:33]       ✗ 非白名單來源(Yahoo股市 https://tw.stock.yahoo.com)：財富轉移－大繼承時代來臨 不動產傳承的智慧選擇
[2026-04-22 20:14:33]       ✗ URL重複：板橋中古屋買賣升溫！台日不動產顧問揭關鍵布局策略- 商情
[2026-04-22 20:14:33]       ✗ 外國地名(日本)：證交所：透過上市連結式 ETF 投資日本股市與不動產市場
[2026-04-22 20:14:33]       ✗ URL重複：1,500萬元預算想買預售屋？ 永慶房屋：先從淡水區找起
[2026-04-22 20:14:33]       ✗ 非白名單來源(LINE TODAY https://today.line.me)：合庫銀攜力興資產，打造多元資產管理服務 | MoneyDJ理
